,category,nominee,artist,workers
3480,Best Spoken Word Or Non-Musical Recording,Ma Rainey's Black Bottom,(Original Broadway Cast),
3481,"Best Music Video, Short Form",We Are The World - The Video Event,USA For Africa - Various Artists,"Tom Trbovich, video director; Quincy Jones, video producer"
3482,"Best Music Video, Long Form",Huey Lewis & The News - The Heart Of Rock 'n' Roll,Huey Lewis & The News,"Bruce Gowers, video director"
3483,Best Instrumental Composition,Miami Vice Theme,,"Jan Hammer, composer (Jan Hammer)"
3484,Best Album Of Original Score Written For A Motion Picture Or A Television Special,Beverly Hills Cop,,"Marc Benno, Harold Faltermeyer, Keith Forsey, Micki Free, Jon Gilutin, Hawk, Howard Hewett, Bunny Hull, Howie Rice, Sharon Robinson, Dan Sembello, Sue Sheridan, Richard C. Theisen II & Allee Willis, composers (Various Artists)"
3485,Best Cast Show Album,West Side Story,,"John McClure, producer (Kiri Te Kanawa & Jose Carreras)"
3486,Best Arrangement On An Instrumental,Early A.M. Attitude,,"Dave Grusin & Lee Ritenour, arrangers (Dave Grusin & Lee Ritenour)"
3487,Best Instrumental Arrangement Accompanying Vocal(s),Lush Life,,"Nelson Riddle, arranger (Linda Ronstadt)"
3488,Best Vocal Arrangement For Two Or More Voices,Another Night In Tunisia,,"Cheryl Bentyne & Bobby McFerrin, arrangers (The Manhattan Transfer)"
3489,Best Album Package,Lush Life,,"John Kosh & Ron Larson, art directors (Linda Ronstadt)"
3490,Best Album Notes,"Sam Cooke Live At The Harlem Square Club, 1963",,"Peter Guralnick, album notes writer (Sam Cooke)"
3491,Best Historical Album,RCA/Met - 100 Singers - 100 Years,,(Various Artists)
3492,Best Engineered Recording - Non Classical,Brothers In Arms,,"Neil Dorfsman, engineer (Dire Straits)"
3493,Producer Of The Year (Non-Classical),Phil Collins & Hugh Padgham,,
3494,Best Classical Album,Berlioz: Requiem,,"John Aler & Robert Shaw, artists; Robert Woods, producer"
3495,Best Classical Orchestral Recording,Faure: Pelleas Et Melisande,,"Robert Shaw, conductor (Atlanta Symphony Orchestra)"
